Indicator,Hard coal,Wind,PV,Biomass,Geothermal,Nature gas,Nuclear,Hydro(running river),Hydro(storage),Oil,MSW
ecosystem quality - agricultural land occupation,7.43E-04,2.86E-05,3.83E-05,8.09E-02,7.54E-05,1.63E-05,1.66E-05,8.16E-06,9.27E-04,6.02E-05,9.88E-05
"ecosystem quality - climate change, ecosystems",2.04E-02,5.34E-04,6.35E-04,1.01E-03,1.15E-03,1.20E-02,1.31E-04,6.99E-05,2.55E-02,1.88E-02,-3.36E-03
ecosystem quality - freshwater ecotoxicity,9.41E-06,1.32E-06,1.15E-06,1.63E-06,1.49E-06,5.11E-06,5.04E-07,9.48E-08,1.16E-05,2.08E-06,-1.39E-04
ecosystem quality - freshwater eutrophication,2.26E-05,1.43E-06,1.64E-06,4.35E-06,3.31E-06,7.52E-07,4.02E-07,9.61E-08,2.72E-05,1.28E-06,-6.54E-05
ecosystem quality - marine ecotoxicity,1.90E-06,2.63E-07,2.78E-07,5.07E-07,2.92E-07,3.78E-07,1.24E-07,1.94E-08,2.33E-06,8.34E-07,-3.07E-05
ecosystem quality - natural land transformation,2.16E-04,1.70E-05,1.70E-05,7.24E-05,2.59E-04,2.70E-04,3.89E-06,1.52E-06,6.52E-04,1.34E-03,2.90E-04
ecosystem quality - terrestrial acidification,7.02E-05,1.52E-06,2.40E-06,2.10E-05,3.37E-06,7.77E-06,5.58E-07,1.95E-07,7.58E-05,1.02E-04,1.16E-05
ecosystem quality - terrestrial ecotoxicity,7.93E-06,6.34E-07,2.77E-06,2.27E-05,8.17E-06,1.21E-05,9.22E-07,8.80E-08,1.01E-05,4.73E-05,-4.57E-03
ecosystem quality - urban land occupation,5.74E-04,2.88E-05,3.17E-05,5.42E-04,4.55E-05,3.57E-05,9.84E-06,4.44E-06,6.97E-04,7.72E-05,-1.75E-04
"human health - climate change, human health",3.22E-02,8.44E-04,1.00E-03,1.59E-03,1.83E-03,1.89E-02,2.07E-04,1.11E-04,4.04E-02,2.97E-02,-5.32E-03
human health - human toxicity,2.94E-03,2.06E-04,2.90E-04,7.00E-03,7.41E-04,5.85E-04,3.46E-04,1.50E-05,3.58E-03,1.22E-03,1.19E-01
human health - ionising radiation,9.54E-07,6.02E-07,4.78E-07,9.65E-07,2.51E-06,5.39E-07,2.35E-04,6.20E-08,8.34E-06,1.95E-05,6.65E-06
human health - ozone depletion,1.64E-07,7.46E-08,1.76E-07,6.93E-07,1.20E-07,2.48E-06,2.84E-08,1.40E-08,3.05E-07,8.97E-06,2.87E-06
human health - particulate matter formation,1.47E-02,4.11E-04,4.71E-04,2.89E-03,8.34E-04,1.08E-03,2.41E-04,1.12E-04,1.61E-02,1.29E-02,-3.66E-02
human health - photochemical oxidant formation,2.76E-04,1.33E-05,1.52E-05,3.27E-05,1.70E-05,5.18E-06,4.63E-06,6.68E-07,3.31E-04,3.27E-03,6.71E-05
resources - fossil depletion,3.16E-02,9.76E-04,1.14E-03,1.93E-03,2.17E-03,3.41E-02,2.63E-04,1.10E-04,3.89E-02,4.05E-02,1.52E-02
resources - metal depletion,1.25E-03,3.78E-03,9.81E-04,8.05E-04,2.97E-03,7.93E-04,3.62E-04,2.46E-04,2.00E-03,1.27E-03,2.32E-03
ecosystem quality - total,2.20E-02,6.13E-04,7.30E-04,8.26E-02,1.55E-03,1.23E-02,1.64E-04,8.45E-05,2.79E-02,2.04E-02,-7.94E-03
human health - total,5.01E-02,1.48E-03,1.78E-03,1.15E-02,3.42E-03,2.06E-02,1.03E-03,2.38E-04,6.05E-02,4.71E-02,7.76E-02
resources - total,3.29E-02,4.76E-03,2.12E-03,2.74E-03,5.15E-03,3.48E-02,6.26E-04,3.56E-04,4.09E-02,4.18E-02,1.75E-02
total - total,1.05E-01,6.84E-03,4.64E-03,9.68E-02,1.01E-02,6.78E-02,1.82E-03,6.79E-04,1.29E-01,1.09E-01,8.71E-02

