,column_i,column_j,solution_value
0,1,1,19.0
1,1,2,12.0
2,1,3,19.0
3,1,4,3.0
4,1,5,1.0
5,2,1,8.0
6,2,2,13.0
7,2,3,11.0
8,2,4,18.0
9,2,5,2.0
10,3,1,15.0
11,3,2,6.0
12,3,3,4.0
13,3,4,0.0
14,3,5,15.0
15,4,1,20.0
16,4,2,11.0
17,4,3,14.0
18,4,4,17.809154329577858
19,4,5,4.0
20,5,1,5.0
21,5,2,15.0
22,5,3,1.0
23,5,4,14.0
24,5,5,13.0
25,6,1,12.0
26,6,2,7.0
27,6,3,9.0
28,6,4,17.0
29,6,5,16.0
30,7,1,19.0
31,7,2,1.0
32,7,3,8.0
33,7,4,6.0
34,7,5,9.0
35,8,1,3.0
36,8,2,8.0
37,8,3,8.0
38,8,4,1.0
39,8,5,3.188881478468726
40,9,1,10.394536279286578
41,9,2,16.0
42,9,3,17.0
43,9,4,1.0
44,9,5,15.0
45,10,1,7.0
46,10,2,4.0
47,10,3,5.0
48,10,4,10.0
49,10,5,20.0
